Time,Sensor1,Sensor2,Sensor3,Sensor4
0.0,22.527524679560614,22.57344386650859,22.303666071668424,22.363411517947902
0.002,23.39645522961752,22.85482844934379,22.99627095588334,22.322771961641394
0.004,22.832100083143487,23.143958800210353,22.890452314671172,22.846443518787293
0.006,23.5728641119372,23.323712450243203,22.77537765630994,23.037004842385645
0.008,22.82209396871847,22.98022046806769,22.080870787996865,22.563494262428556
0.01,22.259950176338215,22.346870726276688,21.592336905415337,21.58095644670432
0.012,21.79850564345423,22.193489445022188,22.137023687245392,21.550406838804143
0.014,21.430498798734558,21.97141068952184,21.18071910676431,20.917211633265712
0.016,21.657305079428454,21.816296464370176,20.46791748952411,21.193854071042004
0.018000000000000002,21.81099082448297,22.542781165645824,20.93353069012878,21.199860637100176
0.02,22.68285639015146,22.4765400659451,21.901857161522972,22.304608752094396
0.022,23.127860186518216,23.368494175162947,22.432989556656672,22.395695145133622
0.024,23.45871469645232,23.782342668031227,22.71983229706244,23.406894271846795
0.026000000000000002,23.06680198743398,23.368509597281196,22.384690098290235,22.22927941518165
0.028,22.630276639621975,23.71399149296415,22.143216778545966,22.462370190859914
0.03,22.385911401323636,23.134277272255762,21.672049047624892,21.990621009060295
0.032,21.620500825537306,22.97190939508947,20.985216355841548,20.869604824079886
0.034,20.84511256506727,22.295458130075154,19.730000841685932,20.589103302006716
0.036000000000000004,21.077376422583484,21.766923846590526,20.390392867358557,20.80052483573556
0.038,21.495033761835405,23.036095522432415,20.443256250770357,20.170068926995064
0.04,21.503146169672085,23.486246662285787,21.345020122040108,21.693749448314886
0.042,22.7321834339663,23.82498111656738,22.80355734323687,21.33641387605255
0.044,22.740412333040034,23.94324238064843,22.517561265684684,22.11682428438569
0.046,22.96790424268039,23.937582875147523,22.182375820278764,23.010663708338512
0.048,22.15003735868449,23.923235666350642,21.887752697138893,21.79713375487839
0.05,21.2608574821264,23.817369399758142,21.18661831489138,20.99286704576254
0.052000000000000005,20.6111747709261,23.472135801151612,20.760106161722774,20.716906853089856
0.054,20.788161524121357,23.018464836522035,20.576756363843195,21.078310681360154
0.056,20.791588921647506,22.470188748777538,21.032630196854814,19.857453436430195
0.058,20.77647907262309,22.541950352809558,20.390508242247652,20.45828050227346
0.06,21.76696638885716,23.48214905541976,21.54036190784507,21.561855497670326
0.062,21.849945703286625,23.330278216582258,21.6107885781292,22.191897106836844
0.064,22.690499323902007,24.360953916769756,22.466263751964636,22.012179171746567
